Well ID	Name	Well	Conc/Dil	480,520	Count	Mean	Std Dev	CV (%)
SPL1		A3	100	130	2	140	13	9.631
		A4	100	149				
SPL2		B3	100	1369	2	1370	1	0.103
		B4	100	1371				
SPL3		C3	100	2952	2	2932	28	0.965
		C4	100	2912				
SPL4		D3	100	7517	2	7493	35	0.462
		D4	100	7468				
SPL5		E3	100	9980	2	10070	127	1.257
		E4	100	10159				
SPL6		F3	100	4695	2	4706	16	0.331
		F4	100	4717				
SPL7		G3	100	1734	2	1772	53	2.994
		G4	100	1809				
SPL8		H3	100	10335	2	10504	239	2.275
		H4	100	10673				
SPL9		A5	100	5501	2	5515	20	0.359
		A6	100	5529				
SPL10		B5	100	891	2	868	33	3.747
		B6	100	845				
SPL11		C5	100	7359	2	7272	123	1.692
		C6	100	7185				
SPL12		D5	100	18880	2	18645	333	1.786
		D6	100	18409				
SPL13		E5	100	16812	2	16501	440	2.665
		E6	100	16190				
SPL14		F5	100	9862	2	9542	453	4.750
		F6	100	9221				
SPL15		G5	100	8273	2	7936	477	6.015
		G6	100	7598				
SPL16		H5	100	1956	2	1894	88	4.668
		H6	100	1831				
SPL17		A7	100	1293	2	1300	10	0.761
		A8	100	1307				
SPL18		B7	100	1150	2	1158	11	0.916
		B8	100	1165				
SPL19		C7	100	1043	2	1071	39	3.633
		C8	100	1098				
SPL20		D7	100	2054	2	2079	35	1.701
		D8	100	2104				
SPL21		E7	100	4857	2	4853	6	0.117
		E8	100	4849				
SPL22		F7	100	302	2	278	35	12.486
		F8	100	253				
SPL23		G7	100	1560	2	1590	42	2.625
		G8	100	1619				
SPL24		H7	100	2083	2	2100	24	1.145
		H8	100	2117				
SPL25		A9	100	880	2	895	21	2.370
		A10	100	910				
SPL26		B9	100	4992	2	4991	1	0.028
		B10	100	4990				
SPL27		C9	100	9835	2	9668	236	2.443
		C10	100	9501				
SPL28		D9	100	1440	2	1435	7	0.493
		D10	100	1430				
SPL29		E9	100	1036	2	1072	51	4.749
		E10	100	1108				
SPL30		F9	100	4749	2	4753	5	0.104
		F10	100	4756				
SPL31		G9	100	15310	2	14652	931	6.351
		G10	100	13994				
SPL32		H9	100	1425	2	1439	20	1.376
		H10	100	1453				
SPL33		A11	100	854	2	851	5	0.582
		A12	100	847				
SPL34		B11	100	29976	2	29862	161	0.540
		B12	100	29748				
SPL35		C11	100	1421	2	1420	2	0.149
		C12	100	1418				
SPL36		D11	100	4166	2	3896	383	9.820
		D12	100	3625				
SPL37		E11	100	674	2	891	307	34.443
		E12	100	1108				
SPL38		F11	100	12129	2	10998	1599	14.543
		F12	100	9867				
SPL39		G11	100	20638	2	19560	1525	7.794
		G12	100	18482				
SPL40		H11	100	29944	2	28548	1974	6.916
		H12	100	27152				
STD1	Standard curve	A1	100	283500	2	282903	844	0.298
		A2	100	282306				
STD2	Standard curve	B1	80	227580	2	227777	278	0.122
		B2	80	227973				
STD3	Standard curve	C1	60	157143	2	163894	9547	5.825
		C2	60	170644				
STD4	Standard curve	D1	40	106375	2	106076	424	0.399
		D2	40	105776				
STD5	Standard curve	E1	20	52875	2	52817	82	0.155
		E2	20	52759				
STD6	Standard curve	F1	10	27170	2	27174	6	0.021
		F2	10	27178				
STD7	Standard curve	G1	5	12987	2	12969	26	0.202
		G2	5	12950				
STD8	Standard curve	H1	0	105	2	107	2	1.992
		H2	0	108				
