Well ID	Name	Well	Conc/Dil	480,520	Count	Mean	Std Dev	CV (%)
SPL1		A3	100	1177	2	1168	13	1.151
		A4	100	1158				
SPL2		B3	100	2536	2	2521	21	0.841
		B4	100	2506				
SPL3		C3	100	599	2	594	8	1.311
		C4	100	588				
SPL4		D3	100	21406	2	21377	41	0.192
		D4	100	21348				
SPL5		E3	100	2243	2	2229	20	0.888
		E4	100	2215				
SPL6		F3	100	5196	2	5126	99	1.931
		F4	100	5056				
SPL7		G3	100	5227	2	5188	56	1.077
		G4	100	5148				
SPL8		H3	100	995	2	991	6	0.642
		H4	100	986				
SPL9		A5	100	3857	2	3790	95	2.519
		A6	100	3722				
SPL10		B5	100	4367	2	4307	86	1.987
		B6	100	4246				
SPL11		C5	100	47573	2	46752	1161	2.483
		C6	100	45931				
SPL12		D5	100	9173	2	8703	665	7.646
		D6	100	8232				
SPL13		E5	100	25583	2	25297	405	1.602
		E6	100	25010				
SPL14		F5	100	19410	2	18928	682	3.601
		F6	100	18446				
SPL15		G5	100	1046	2	1013	47	4.679
		G6	100	979				
SPL16		H5	100	4818	2	4614	289	6.269
		H6	100	4409				
SPL17		A7	100	37	2	35	3	8.081
		A8	100	33				
SPL18		B7	100	29	2	32	4	11.224
		B8	100	34				
SPL19		C7	100	33	2	35	3	8.081
		C8	100	37				
SPL20		D7	100	31	2	32	1	2.245
		D8	100	32				
SPL21		E7	100	28	2	30	3	9.428
		E8	100	32				
SPL22		F7	100	29	2	31	2	6.955
		F8	100	32				
SPL23		G7	100	28	2	29	1	4.877
		G8	100	30				
SPL24		H7	100	28	2	31	4	13.686
		H8	100	34				
SPL25		A9	100	35	2	35	1	2.050
		A10	100	34				
SPL26		B9	100	38	2	38	1	1.886
		B10	100	37				
SPL27		C9	100	30	2	33	4	12.856
		C10	100	36				
SPL28		D9	100	38	2	35	4	12.122
		D10	100	32				
SPL29		E9	100	36	2	34	4	10.554
		E10	100	31				
SPL30		F9	100	39	2	36	4	11.785
		F10	100	33				
SPL31		G9	100	34	2	32	4	11.224
		G10	100	29				
SPL32		H9	100	31	2	33	3	8.571
		H10	100	35				
SPL33		A11	100	35	2	35	0	0.000
		A12	100	35				
SPL34		B11	100	35	2	35	1	2.050
		B12	100	34				
SPL35		C11	100	30	2	30	1	2.397
		C12	100	29				
SPL36		D11	100	34	2	34	0	0.000
		D12	100	34				
SPL37		E11	100	36	2	37	1	3.822
		E12	100	38				
SPL38		F11	100	39	2	35	6	16.162
		F12	100	31				
SPL39		G11	100	31	2	37	8	22.933
		G12	100	43				
SPL40		H11	100	39	2	36	5	13.943
		H12	100	32				
STD1	Standard curve	A1	100	216410	2	213234	4492	2.106
		A2	100	210058				
STD2	Standard curve	B1	80	170995	2	162718	11705	7.194
		B2	80	154441				
STD3	Standard curve	C1	60	117506	2	115837	2360	2.038
		C2	60	114168				
STD4	Standard curve	D1	40	77879	2	76505	1944	2.541
		D2	40	75130				
STD5	Standard curve	E1	20	38621	2	37995	886	2.332
		E2	20	37368				
STD6	Standard curve	F1	10	19743	2	19448	418	2.149
		F2	10	19152				
STD7	Standard curve	G1	5	9597	2	9431	235	2.497
		G2	5	9264				
STD8	Standard curve	H1	0	172	2	181	12	6.660
		H2	0	189				
